mh1,mh2,sample
133.367204,4504.22266,"[0.6106029403456574, -3.667654676048813, -0.8662883969218829, -1.1620338931491192, 1.973290502146499, -1.7532838300051523, -1.3179685940461958, -3.228802647658304, 2.768212630002407, 0.7424001974294798, 1.1486729180014805]"
133.367204,4504.22266,"[-2.913289926027989, -0.29110931390769235, 1.3230679857708427, -0.9898814590114036, 1.0831325889531058, -1.4966244494729564, 2.8082304412652954, -2.40775520251137, -3.160706039558936, -2.0691497370362244, -3.7978149144740536]"
133.367204,4504.22266,"[0.9168811257535472, -2.9764647451545025, -2.839661984913284, -2.0858435927480308, -3.377515612318783, 1.7981557986228154, -3.3810155471518426, 0.23798490661261695, -3.081990063010009, 3.337443488310469, -0.12998280632523151]"
133.367204,4504.22266,"[-1.6657258546751201, 0.45905654675473073, 1.4138576895046855, 1.0095007067270787, -1.744518468944623, -2.231277347789435, 2.159589264692136, -2.749384869294442, 3.1671866766670975, -3.81626566392016, -0.4791187063125095]"
133.367204,4504.22266,"[-3.5726523765013924, 3.5994242293293928, -1.5323577592155573, -0.10326802307832672, 3.337309457139858, -2.4943382688108553, -1.5890967101158822, -3.3494664371001086, -3.1815333162666164, 0.8599486354080987, 1.7098888503304561]"
133.367204,4504.22266,"[-2.8016640653148652, 1.5572729514325898, 3.6295087524521046, -1.0635007391625102, -3.06168520886793, 0.7612521318591545, -2.5724318373675708, -0.3378052697660525, 1.5541830216566819, -1.9980879162247076, 2.588235410945492]"
133.367204,4504.22266,"[1.806057211391054, 3.1086314043984746, -1.6016450493700054, -2.636256006846682, -1.4876787443258213, -1.2523426827829276, -1.8948555692913143, 3.333305952092129, -1.8342834051760537, 1.488059930821315, -0.19833891411172466]"
133.367204,4504.22266,"[1.371186862292607, -3.7656441040567206, -2.0925192634136014, 3.5157997322252657, -3.7664106358553733, -1.2888398582028415, -2.0412246709804327, 0.13256778529816682, -2.016719878448524, -0.5247943826388148, 2.0947283348174075]"
133.367204,4504.22266,"[-2.1700380057940203, -0.8646699588308078, -0.2509250240813854, 2.3743148606953755, 3.0770188034987047, -1.5868977042159758, -0.19895866385986416, -2.5506691349981976, 1.6988065146799318, 1.0209928885535398, -2.0899021557022808]"
133.367204,4504.22266,"[-2.503833556901321, 1.8072217496277476, -2.6437847308238984, 2.9230271576392877, 3.8945860198198448, -3.135232913531878, -1.847689462382335, -1.845188230483111, -0.3094962379742521, 3.020255625726322, 1.087715335052093]"
133.367204,4504.22266,"[2.166325483878098, -2.619119595532413, -0.5602008361234212, 2.118937281415265, -2.2468107756170577, -3.8260409805106077, 2.8898714917440493, 0.2105681810387301, -2.7281175013942436, -3.6577251605263053, -1.2847117048989958]"
133.367204,4504.22266,"[-1.1553848499039203, -2.6291949031613058, 1.4604435182499236, 2.4923908320083044, 1.8879709333220385, 2.5750171288340464, -0.8723030707682531, -1.129681734486943, 1.6805259282895229, -0.3691292425917725, 0.42427401198829173]"
133.367204,4504.22266,"[1.782947804273447, -3.4579253109022536, 3.381380415154114, 1.3074600078279017, 3.025363206751428, -3.117873733986384, 1.8093461030603883, 3.664735121791187, -0.14587676343617684, -2.286847985892223, 0.027751064572867357]"
133.367204,4504.22266,"[-0.1399732440682664, -2.147757608553267, 3.004564543857791, 1.3720703617050738, 0.3696839779403094, -0.9807569574750996, -1.5299703410373562, 2.5745214291773593, -2.887418889420551, -2.3568129430760596, 1.7824295948274367]"
133.367204,4504.22266,"[-0.357182246266027, 3.709029524243281, -2.2300829550741437, -0.7274182261694362, -1.9566129337234601, -3.696805906444303, -0.3619422209175891, 3.5705452878656825, 2.2955951845230436, 0.004414717347345665, 3.788043695903677]"
292.160039,1505.53439,"[-2.733091971001067, -1.701652628265613, 3.264683690168864, -1.2220267073323887, -3.3413367572985715, 0.0022316946748572875, -1.1657859729890898, -3.28535012934367, 3.6406323661906903, 0.47040294321842513, 0.5295838253472116]"
292.160039,1505.53439,"[-2.5115940856410113, 1.2716533816423699, -3.027517584008417, -1.2353346678670114, 1.3662398271781697, -3.971266547724606, 3.5120529737810466, 3.803506332556431, -1.4470433113300993, -3.823926785981297, 2.1151736446276805]"
292.160039,1505.53439,"[0.7815739375801369, 1.2179787805948568, 3.9157641310865543, 3.1867681659939517, 2.036585146158072, 1.6147393935069951, 3.7511081800999104, -1.083641286019101, -1.921116495091586, 1.3509224081680786, -2.5256570548855777]"
292.160039,1505.53439,"[2.6570612822146487, 2.4028811303883924, -1.0352595567452196, -0.8816498725366078, -0.7101278279637198, 1.1666167659305886, 1.3653186760897391, -0.8422588518289569, -0.6934161140187678, 1.3785337244906826, -3.208129418887985]"
292.160039,1505.53439,"[-2.341224097488875, 1.1095057566829674, -1.8235214205333623, -2.7268095595048827, -0.2085881697462062, 1.5455112314004493, 1.6117822818333147, -0.14935053967725764, 0.0733955299548894, 1.8027970027182532, -0.297540502298288]"
